iter	RMSE
0	26.05226288
1	25.92085447
2	25.81262235
3	25.73968419
4	25.65742729
5	25.6002867
6	25.53444214
7	25.49486215
8	25.44344117
9	25.40329344
10	25.35626418
11	25.33040368
12	25.28190648
13	25.25237337
14	25.22538279
15	25.20190435
16	25.1711465
17	25.14570258
18	25.11603198
19	25.09047175
20	25.07504262
21	25.04796753
22	25.03213775
23	25.01147112
24	24.99971958
25	24.97489709
26	24.96449245
27	24.95240382
28	24.93900179
29	24.91876918
30	24.90363448
31	24.89183062
32	24.88075002
33	24.86751709
34	24.85318632
35	24.83895055
36	24.82437537
37	24.8069193
38	24.7854151
39	24.77628435
40	24.75455776
41	24.74304002
42	24.73117789
43	24.71376051
44	24.69905745
45	24.69331161
46	24.67766474
47	24.66670517
48	24.65991105
49	24.6511936
50	24.63872585
51	24.63167142
52	24.62253885
53	24.61420682
54	24.60416232
55	24.59360462
56	24.58591191
57	24.56763069
58	24.55651387
59	24.5373444
60	24.52593639
61	24.51379208
62	24.48968436
63	24.47682145
64	24.47013607
65	24.45070737
66	24.44566669
67	24.4321387
68	24.41994484
69	24.41249788
70	24.39292771
71	24.38108185
72	24.35938577
73	24.35349333
74	24.34474266
75	24.33673754
76	24.32296778
77	24.312221
78	24.30850482
79	24.29541905
80	24.28431946
81	24.27780885
82	24.2660699
83	24.25886878
84	24.25396733
85	24.2446414
86	24.23996479
87	24.23117795
88	24.2180683
89	24.20228618
90	24.19662937
91	24.19135468
92	24.17844418
93	24.16397517
94	24.15717529
95	24.15148243
96	24.14378693
97	24.13319263
98	24.12712387
99	24.11533538
100	24.1064463
101	24.09767493
102	24.08943051
103	24.08375584
104	24.07580217
105	24.07257495
106	24.06776813
107	24.05936529
108	24.05382616
109	24.04566536
110	24.03889319
111	24.02655997
112	24.01833845
113	24.01205362
114	24.00078954
115	23.99513722
116	23.98371875
117	23.96960406
118	23.96098681
119	23.95625497
120	23.95134649
121	23.94529311
122	23.93965058
123	23.93655189
124	23.92575262
125	23.92139788
126	23.90840013
127	23.89002922
128	23.88203574
129	23.87637042
130	23.87199997
131	23.86839934
132	23.8613388
133	23.85769184
134	23.84775296
135	23.84199974
136	23.83050254
137	23.82241395
138	23.8147644
139	23.81038738
140	23.79958055
141	23.79446599
142	23.78216491
143	23.77479356
144	23.77010104
145	23.7648396
146	23.75952347
147	23.74982152
148	23.74483298
149	23.73740735
150	23.73184131
151	23.72577487
152	23.72167512
153	23.71027038
154	23.70681489
155	23.70139686
156	23.69661266
157	23.68682277
158	23.67845199
159	23.6734013
160	23.66327855
161	23.65493528
162	23.64657673
163	23.63878348
164	23.62512796
165	23.61662443
166	23.60688839
167	23.59966922
168	23.5955542
169	23.588958
170	23.58410379
171	23.5790081
172	23.57006896
173	23.56476802
174	23.55656315
175	23.54984103
176	23.54404884
177	23.53493574
178	23.52601542
179	23.51923304
180	23.51489362
181	23.50223746
182	23.49602186
183	23.48670026
184	23.48294804
185	23.47970943
186	23.4749145
187	23.46681167
188	23.46207275
189	23.45462336
190	23.45254156
191	23.44410553
192	23.44059249
193	23.43469052
194	23.43115003
195	23.42737178
196	23.42314841
197	23.41452446
198	23.40433683
199	23.40055332
200	23.39712078
201	23.39286434
202	23.38614515
203	23.38379476
204	23.37609214
205	23.36676517
206	23.36113035
207	23.35432331
208	23.34583461
209	23.33802829
210	23.3302324
211	23.32563318
212	23.31773584
213	23.31460093
214	23.30586234
215	23.30047511
216	23.29574284
217	23.28510492
218	23.27812314
219	23.2693186
220	23.26642015
221	23.26295558
222	23.25517985
223	23.25314237
224	23.24916483
225	23.24511217
226	23.24062725
227	23.23695452
228	23.23287942
229	23.2306422
230	23.22327483
231	23.21980772
232	23.21133811
233	23.20718706
234	23.19658042
235	23.19167174
236	23.18884104
237	23.17903707
238	23.17695625
239	23.17147162
240	23.16292226
241	23.15871532
242	23.15445991
243	23.14992196
244	23.14580908
245	23.13494042
246	23.12897748
247	23.126501
248	23.12386049
249	23.11845979
250	23.11430239
251	23.11086789
252	23.10457825
253	23.10041572
254	23.09620167
255	23.09132099
256	23.08734795
257	23.08169259
258	23.07696315
259	23.07108634
260	23.06352521
261	23.05657788
262	23.05371663
263	23.04848495
264	23.04575308
265	23.04091952
266	23.03648472
267	23.03284854
268	23.02365934
269	23.0179881
270	23.01549435
271	23.00896071
272	22.99949258
273	22.99605714
274	22.99352037
275	22.98958285
276	22.98575935
277	22.97895268
278	22.97604916
279	22.97191584
280	22.96898111
281	22.96150178
282	22.95597027
283	22.94992862
284	22.94597283
285	22.9432023
286	22.94004855
287	22.93293272
288	22.92957412
289	22.92336886
290	22.9214124
291	22.91844146
292	22.91462068
293	22.91069313
294	22.90755086
295	22.9032023
296	22.89785244
297	22.89587078
298	22.89406989
299	22.89211683
300	22.88602085
301	22.87279714
302	22.86577754
303	22.86376182
304	22.8591285
305	22.85284288
306	22.84893502
307	22.84651699
308	22.84116339
309	22.83796737
310	22.83576462
311	22.82762714
312	22.82519518
313	22.82310129
314	22.81426182
315	22.81119903
316	22.80953124
317	22.80291988
318	22.79871143
319	22.79216072
320	22.78528447
321	22.77934608
322	22.7767994
323	22.77443098
324	22.77262427
325	22.76403443
326	22.75842561
327	22.75502999
328	22.75254716
329	22.74642235
330	22.73706084
331	22.72824731
332	22.72233337
333	22.71578112
334	22.71154288
335	22.70464925
336	22.70134268
337	22.69463787
338	22.68791394
339	22.68310905
340	22.67889377
341	22.67404171
342	22.66979554
343	22.66623283
344	22.65951965
345	22.65632949
346	22.65163751
347	22.64675838
348	22.64274454
349	22.64062892
350	22.63886419
351	22.63645824
352	22.63146738
353	22.62983994
354	22.62595717
355	22.61887606
356	22.61211039
357	22.60968335
358	22.60646707
359	22.60369663
360	22.60202021
361	22.60058764
362	22.5977209
363	22.5914512
364	22.58753084
365	22.58166056
366	22.57831526
367	22.57555523
368	22.5722573
369	22.56941866
370	22.56708908
371	22.56114253
372	22.55708404
373	22.55532336
374	22.55345961
375	22.54956391
376	22.54462974
377	22.54296236
378	22.53698243
379	22.53391298
380	22.53064348
381	22.52710614
382	22.52033914
383	22.51719383
384	22.51180526
385	22.50703296
386	22.50179926
387	22.49485696
388	22.49213364
389	22.48732709
390	22.48503435
391	22.47979019
392	22.47435351
393	22.46946269
394	22.46740994
395	22.46537406
396	22.46201073
397	22.45986594
398	22.45487886
399	22.45013386
400	22.44280918
401	22.44129232
402	22.43805529
403	22.43358475
404	22.42816691
405	22.42261313
406	22.4182019
407	22.41293099
408	22.41190916
409	22.40809482
410	22.40160992
411	22.39991571
412	22.39446881
413	22.39122013
414	22.38551945
415	22.38213561
416	22.38053179
417	22.37669143
418	22.37129063
419	22.36928713
420	22.36667774
421	22.36465876
422	22.36161292
423	22.36053563
424	22.35243525
425	22.34624434
426	22.34433236
427	22.33599308
428	22.32710765
429	22.32495455
430	22.32311344
431	22.31739244
432	22.31513208
433	22.3107841
434	22.30675257
435	22.30451372
436	22.30085157
437	22.29907132
438	22.29523514
439	22.29064447
440	22.28777843
441	22.28033058
442	22.27776509
443	22.27376155
444	22.27218524
445	22.27044272
446	22.26425867
447	22.25894989
448	22.25732324
449	22.25324824
450	22.24757859
451	22.24526935
452	22.24139063
453	22.23966668
454	22.23625883
455	22.22976765
456	22.22481879
457	22.22108572
458	22.21788368
459	22.21324988
460	22.20946712
461	22.20570871
462	22.20326892
463	22.19906648
464	22.19438164
465	22.19194197
466	22.18976113
467	22.18538862
468	22.18188202
469	22.17811752
470	22.17510561
471	22.17069722
472	22.16840458
473	22.16629649
474	22.16228443
475	22.15727159
476	22.15345151
477	22.15098358
478	22.1485518
479	22.14364736
480	22.13983875
481	22.13754041
482	22.13405423
483	22.13154381
484	22.13013192
485	22.12839806
486	22.12479904
487	22.12297599
488	22.12095433
489	22.11558972
490	22.10885911
491	22.10393558
492	22.10222055
493	22.096759
494	22.0925951
495	22.08720021
496	22.08301466
497	22.07874145
498	22.07577566
499	22.07317914
500	22.06814277
501	22.06646175
502	22.06386167
503	22.06053048
504	22.058591
505	22.05036164
506	22.0465985
507	22.04419295
508	22.04143084
509	22.03874974
510	22.0361711
511	22.0338552
512	22.02818833
513	22.02114407
514	22.019548
515	22.01491868
516	22.01308743
517	22.01078634
518	22.00697244
519	22.00348985
520	22.00204801
521	22.00076276
522	21.99638646
523	21.99416094
524	21.98862445
525	21.98331418
526	21.98118607
527	21.97777329
528	21.97203885
529	21.96803596
530	21.96416586
531	21.96298241
532	21.95786469
533	21.95456612
534	21.94831323
535	21.94619842
536	21.94489453
537	21.94370903
538	21.94189491
539	21.94000706
540	21.93560713
541	21.92559439
542	21.92113762
543	21.91655846
544	21.91477507
545	21.91024559
546	21.90882598
547	21.90571342
548	21.90389899
549	21.9001987
550	21.89818384
551	21.89248486
552	21.88656834
553	21.88275452
554	21.87818922
555	21.87229373
556	21.86718793
557	21.86274662
558	21.85534563
559	21.85129107
560	21.84980116
561	21.84731059
562	21.83766219
563	21.83418496
564	21.82758396
565	21.8253101
566	21.8238309
567	21.82190359
568	21.81813067
569	21.81379664
570	21.81186399
571	21.80672956
572	21.80206951
573	21.79193319
574	21.79084475
575	21.78784535
576	21.78631557
577	21.78479772
578	21.77918625
579	21.7761679
580	21.77264964
581	21.76924497
582	21.76603201
583	21.76440638
584	21.75953443
585	21.75828637
586	21.75576618
587	21.75412686
588	21.74867074
589	21.74667752
590	21.73962913
591	21.73771919
592	21.73311665
593	21.72928118
594	21.7267512
595	21.72354949
596	21.71643964
597	21.71449316
598	21.71190686
599	21.70837877
600	21.70708443
601	21.70269741
602	21.70027875
603	21.6970016
604	21.69215238
605	21.69020611
606	21.68669139
607	21.68147145
608	21.67947116
609	21.67269516
610	21.67079071
611	21.66747117
612	21.66462708
613	21.6639386
614	21.66189127
615	21.65876104
616	21.65317104
617	21.64879687
618	21.64245526
619	21.63962018
620	21.6357758
621	21.63017278
622	21.62703615
623	21.62490938
624	21.62251326
625	21.61447841
626	21.61141109
627	21.60343215
628	21.59761287
629	21.59270305
630	21.58702426
631	21.58487069
632	21.58174582
633	21.57880206
634	21.57438615
635	21.5698102
636	21.56487014
637	21.56331107
638	21.55698873
639	21.55583384
640	21.55374465
641	21.55267223
642	21.54827075
643	21.54681979
644	21.54386208
645	21.54258583
646	21.53589829
647	21.53295635
648	21.53042045
649	21.52779247
650	21.52515613
651	21.52283512
652	21.52099426
653	21.51819197
654	21.51513758
655	21.5124627
656	21.50988365
657	21.5062196
658	21.50519181
659	21.50415705
660	21.50210178
661	21.49669082
662	21.49466305
663	21.49253153
664	21.48823988
665	21.48474058
666	21.48316159
667	21.48093969
668	21.47919515
669	21.47771553
670	21.47195183
671	21.47078714
672	21.46396701
673	21.4617342
674	21.46022719
675	21.45759169
676	21.45612566
677	21.45187781
678	21.44818851
679	21.44579195
680	21.4431593
681	21.43767489
682	21.43303933
683	21.42943274
684	21.42479877
685	21.42312102
686	21.42144801
687	21.41640221
688	21.41481722
689	21.41332131
690	21.41222862
691	21.40982587
692	21.40310606
693	21.40062348
694	21.39945214
695	21.39485651
696	21.39332021
697	21.38978926
698	21.38808487
699	21.38653039
700	21.38403579
701	21.37996573
702	21.37840846
703	21.37508306
704	21.3724827
705	21.36952617
706	21.36491779
707	21.36139834
708	21.35655104
709	21.35268594
710	21.35024001
711	21.34798909
712	21.34709175
713	21.34517198
714	21.34404057
715	21.33925054
716	21.33818773
717	21.33484853
718	21.33340198
719	21.32909812
720	21.32708728
721	21.32513661
722	21.32160096
723	21.32028786
724	21.31560136
725	21.31322148
726	21.31148613
727	21.3061575
728	21.30403236
729	21.30207903
730	21.30041671
731	21.29689242
732	21.29407391
733	21.28943072
734	21.28536664
735	21.28141639
736	21.27864172
737	21.27416536
738	21.27297993
739	21.26988582
740	21.26772495
741	21.26462709
742	21.26007561
743	21.25887808
744	21.25498803
745	21.25247447
746	21.24862093
747	21.24570787
748	21.24424941
749	21.2427892
750	21.23874919
751	21.23793422
