iter	Passed	Remaining
0	16	16907
1	32	16405
2	48	16133
3	64	15986
4	79	15911
5	95	15780
6	110	15734
7	126	15686
8	141	15610
9	158	15669
10	174	15649
11	189	15626
12	211	16023
13	227	16044
14	244	16042
15	259	15969
16	276	15989
17	293	16032
18	311	16070
19	326	16006
20	343	15992
21	358	15953
22	374	15891
23	388	15817
24	403	15753
25	418	15677
26	438	15790
27	455	15821
28	472	15822
29	488	15795
30	505	15814
31	521	15767
32	535	15696
33	551	15673
34	567	15643
35	583	15632
36	599	15595
37	615	15588
38	631	15562
39	648	15575
40	669	15659
41	686	15666
42	703	15656
43	719	15638
44	735	15599
45	750	15564
46	766	15545
47	782	15519
48	797	15476
49	812	15446
50	830	15453
51	846	15436
52	864	15454
53	883	15482
54	899	15449
55	915	15430
56	930	15389
57	947	15388
58	962	15358
59	979	15352
60	996	15345
61	1014	15342
62	1031	15334
63	1045	15297
64	1061	15275
65	1082	15324
66	1101	15342
67	1119	15339
68	1134	15313
69	1150	15284
70	1167	15275
71	1184	15265
72	1201	15255
73	1217	15233
74	1232	15203
75	1250	15201
76	1266	15176
77	1283	15168
78	1301	15168
79	1321	15201
80	1338	15185
81	1354	15159
82	1371	15156
83	1386	15121
84	1403	15108
85	1420	15096
86	1435	15066
87	1451	15047
88	1470	15051
89	1488	15049
90	1505	15042
91	1527	15076
92	1546	15078
93	1562	15057
94	1578	15032
95	1593	15007
96	1610	14988
97	1628	14985
98	1644	14962
99	1660	14943
100	1677	14927
101	1692	14897
102	1708	14881
103	1729	14901
104	1747	14894
105	1762	14866
106	1777	14832
107	1793	14809
108	1809	14787
109	1824	14765
110	1839	14732
111	1857	14727
112	1874	14716
113	1892	14710
114	1909	14696
115	1928	14697
116	1950	14718
117	1968	14710
118	1984	14695
119	2001	14674
120	2016	14651
121	2032	14624
122	2047	14598
123	2063	14579
124	2081	14569
125	2097	14549
126	2115	14540
127	2136	14556
128	2159	14583
129	2177	14570
130	2193	14548
131	2209	14527
132	2225	14508
133	2239	14475
134	2256	14456
135	2272	14436
136	2289	14421
137	2306	14410
138	2322	14388
139	2339	14372
140	2363	14396
141	2382	14393
142	2398	14373
143	2417	14369
144	2433	14346
145	2448	14323
146	2464	14298
147	2482	14292
148	2500	14280
149	2516	14257
150	2534	14249
151	2550	14229
152	2571	14237
153	2587	14215
154	2601	14184
155	2617	14161
156	2633	14139
157	2650	14124
158	2667	14109
159	2682	14084
160	2698	14064
161	2716	14049
162	2730	14021
163	2747	14003
164	2766	13999
165	2783	13986
166	2800	13969
167	2817	13953
168	2835	13944
169	2851	13920
170	2868	13904
171	2883	13883
172	2900	13865
173	2917	13851
174	2934	13833
175	2950	13815
176	2969	13807
177	2990	13809
178	3005	13786
179	3022	13768
180	3037	13746
181	3055	13731
182	3071	13711
183	3087	13693
184	3102	13668
185	3120	13655
186	3135	13631
187	3152	13614
188	3167	13590
189	3189	13596
190	3205	13578
191	3222	13563
192	3238	13540
193	3254	13522
194	3269	13496
195	3284	13474
196	3299	13448
197	3316	13431
198	3332	13413
199	3348	13395
200	3363	13369
201	3379	13351
202	3395	13332
203	3416	13331
204	3433	13316
205	3452	13305
206	3467	13284
207	3484	13268
208	3500	13248
209	3516	13229
210	3533	13213
211	3550	13197
212	3568	13183
213	3583	13162
214	3599	13141
215	3615	13122
216	3632	13107
217	3654	13109
218	3670	13090
219	3688	13078
220	3704	13059
221	3719	13035
222	3735	13015
223	3752	13000
224	3767	12976
225	3785	12965
226	3803	12950
227	3818	12928
228	3834	12908
229	3856	12911
230	3874	12899
231	3889	12876
232	3907	12861
233	3922	12841
234	3939	12825
235	3955	12805
236	3970	12784
237	3989	12773
238	4008	12762
239	4025	12746
240	4045	12741
241	4065	12732
242	4083	12720
243	4099	12700
244	4115	12680
245	4132	12665
246	4148	12646
247	4163	12624
248	4179	12606
249	4195	12585
250	4211	12567
251	4228	12550
252	4246	12536
253	4265	12528
254	4286	12521
255	4304	12509
256	4320	12492
257	4335	12468
258	4350	12447
259	4366	12428
260	4384	12413
261	4401	12398
262	4415	12374
263	4431	12355
264	4447	12334
265	4463	12316
266	4487	12319
267	4504	12303
268	4521	12288
269	4539	12274
270	4554	12252
271	4572	12237
272	4589	12221
273	4605	12202
274	4620	12182
275	4637	12165
276	4652	12142
277	4667	12122
278	4688	12116
279	4707	12105
280	4723	12085
281	4739	12067
282	4758	12055
283	4775	12038
284	4789	12016
285	4804	11993
286	4820	11975
287	4836	11956
288	4853	11941
289	4870	11924
290	4885	11902
291	4906	11896
292	4926	11887
293	4942	11868
294	4957	11848
295	4974	11830
296	4990	11812
297	5006	11794
298	5021	11773
299	5036	11751
300	5055	11740
301	5073	11726
302	5090	11709
303	5106	11690
304	5126	11682
305	5149	11677
306	5166	11662
307	5182	11644
308	5198	11625
309	5214	11605
310	5229	11585
311	5246	11569
312	5263	11553
313	5280	11536
314	5298	11521
315	5314	11503
316	5332	11489
317	5354	11484
318	5371	11467
319	5388	11449
320	5406	11437
321	5423	11420
322	5441	11406
323	5456	11385
324	5473	11367
325	5490	11352
326	5507	11334
327	5521	11313
328	5537	11294
329	5561	11291
330	5579	11277
331	5597	11262
332	5613	11243
333	5630	11226
334	5645	11206
335	5661	11188
336	5677	11170
337	5695	11155
338	5713	11140
339	5728	11120
340	5746	11106
341	5763	11089
342	5785	11082
343	5802	11065
344	5819	11048
345	5835	11030
346	5853	11015
347	5869	10997
348	5885	10978
349	5901	10960
350	5918	10943
351	5933	10922
352	5949	10903
353	5962	10881
354	5977	10861
355	5998	10851
356	6018	10839
357	6036	10824
358	6052	10807
359	6069	10790
360	6086	10772
361	6101	10752
362	6116	10733
363	6133	10716
364	6148	10697
365	6164	10678
366	6180	10659
367	6195	10639
368	6213	10625
369	6232	10611
370	6247	10592
371	6264	10575
372	6280	10557
373	6296	10539
374	6314	10524
375	6329	10504
376	6346	10487
377	6363	10471
378	6380	10454
379	6395	10434
380	6410	10415
381	6428	10400
382	6450	10391
383	6466	10373
384	6482	10355
385	6497	10335
386	6514	10318
387	6532	10303
388	6546	10282
389	6563	10265
390	6577	10244
391	6595	10229
392	6611	10211
393	6628	10195
394	6648	10183
395	6667	10168
396	6684	10153
